,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,join,contract,href
492,Nico Melamed,21,"Apr 11, 2001",Spain,ESPANYOL,,Left Winger,7.5,33,1,1,1196,0,0,1.73,"Aug 1, 2020","Jun 30, 2024",/nico-melamed/profil/spieler/570421
495,Luca Koleosho,17,"Sep 15, 2004",Italy,ESPANYOL,,Left Winger,,3,0,0,34,0,0,1.75,-,"Jun 30, 2024",/luca-koleosho/profil/spieler/745461
501,Max Svensson,20,"Nov 8, 2001 ",Spain,ESPANYOL,,Centre-Forward,0.4,35,9,0,2320,0,0,1.82,-,"Jun 30, 2023",/max-svensson/profil/spieler/705808
502,Stole Dimitrievski,28,"Dec 25, 1993",North Macedonia,RAYO VALLECANO,,Goalkeeper,3.0,33,0,0,2951,39,10,1.88,"Jan 31, 2019","Jun 30, 2024",/stole-dimitrievski/profil/spieler/165467
505,Miguel Ángel Morro,21,"Sep 11, 2000",Spain,RAYO VALLECANO,,Goalkeeper,0.6,16,0,0,1470,23,6,1.95,"Aug 1, 2020","Jun 30, 2025",/miguel-angel-morro/profil/spieler/607780
506,Adrián Quintela,21,"Mar 11, 2001",Spain,RAYO VALLECANO,,Goalkeeper,,-,0,0,0,0,0,1.88,-,"Jun 30, 2023",/adrian-quintela/profil/spieler/548186
507,Alejandro Catena,27,"Oct 28, 1994",Spain,RAYO VALLECANO,,Centre-Back,4.0,40,2,2,3600,0,0,1.94,"Jan 31, 2019","Jun 30, 2023",/alejandro-catena/profil/spieler/449796
509,Esteban Saveljich,31,"May 20, 1991",Montenegro,RAYO VALLECANO,,Centre-Back,0.8,23,0,0,1754,0,0,1.87,"Jul 26, 2019","Jun 30, 2023",/esteban-saveljich/profil/spieler/240360
511,Mario Suárez,35,"Feb 24, 1987",Spain,RAYO VALLECANO,,Centre-Back,0.3,21,1,0,1354,0,0,1.89,"Jan 31, 2019","Jun 30, 2023",/mario-suarez/profil/spieler/37337
512,Sergio Gimeno,21,"May 25, 2001",Spain,RAYO VALLECANO,,Centre-Back,,-,0,0,0,0,0,-,-,-,/sergio-gimeno/profil/spieler/623025
513,Iker Recio,21,"Jun 17, 2001",Spain,RAYO VALLECANO,,Centre-Back,,2,0,0,91,0,0,1.84,-,"Jun 30, 2023",/iker-recio/profil/spieler/628461
