,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,join,contract,href
637,Mathis Clairicia,19,"Aug 30, 2002",France,CLERMONT,,Centre-Forward,0.1,22,8,2,1653,0,0,-,-,-,/mathis-clairicia/profil/spieler/969153
638,Maxime Dupé,29,"Mar 4, 1993 ",France,TOULOUSE,,Goalkeeper,1.2,38,0,0,3420,33,16,1.88,"Jul 1, 2020","Jun 30, 2023",/maxime-dupe/profil/spieler/127188
639,Isak Pettersson,25,"Jun 6, 1997 ",Sweden,TOULOUSE,,Goalkeeper,0.7,8,0,0,720,7,3,1.81,"Jan 5, 2021","Dec 31, 2023",/isak-pettersson/profil/spieler/296458
640,Thomas Himeur,21,"Jan 17, 2001",France,TOULOUSE,,Goalkeeper,0.15,15,0,0,1350,14,5,1.87,"Jul 1, 2021","Jun 30, 2024",/thomas-himeur/profil/spieler/835136
641,Guillaume Restes,17,"Mar 11, 2005",France,TOULOUSE,,Goalkeeper,,4,0,0,360,4,2,1.86,-,-,/guillaume-restes/profil/spieler/912902
642,Anthony Rouault,21,"May 29, 2001",France,TOULOUSE,,Centre-Back,4.0,28,4,1,2446,0,0,1.86,"Jul 1, 2019","Jun 30, 2024",/anthony-rouault/profil/spieler/690799
643,Rasmus Nicolaisen,25,"Mar 16, 1997",Denmark,TOULOUSE,,Centre-Back,1.8,42,4,2,3433,0,0,1.91,"Aug 17, 2021","Jun 30, 2025",/rasmus-nicolaisen/profil/spieler/283227
644,Ruben Gabrielsen,30,"Mar 10, 1992",Norway,TOULOUSE,,Centre-Back,0.6,51,3,1,4059,0,0,1.86,"Jan 1, 2020","Dec 31, 2027",/ruben-gabrielsen/profil/spieler/107662
645,Logan Costa,21,"Apr 1, 2001 ",Cape Verde,TOULOUSE,,Centre-Back,0.4,17,1,0,1345,0,0,1.9,"Aug 20, 2021","Jun 30, 2025",/logan-costa/profil/spieler/484988
646,Kévin Keben,18,"Jan 26, 2004",Cameroon,TOULOUSE,,Centre-Back,,11,0,0,990,0,0,-,"Jul 1, 2022","Jun 30, 2025",/kevin-keben/profil/spieler/855014
647,Issiaga Sylla,28,"Jan 1, 1994 ",Guinea,TOULOUSE,,Left-Back,1.8,26,0,2,1980,0,0,1.8,"Sep 4, 2012","Jun 30, 2025",/issiaga-sylla/profil/spieler/220878
648,Moussa Diarra,21,"Nov 10, 2000",Mali,TOULOUSE,,Left-Back,0.6,31,0,1,1565,0,0,1.85,"Jul 1, 2019","Jun 30, 2024",/moussa-diarra/profil/spieler/694509
651,Mikkel Desler,27,"Feb 19, 1995",Denmark,TOULOUSE,,Right-Back,1.8,40,1,6,3464,0,0,1.84,"Jul 20, 2021","Jun 30, 2023",/mikkel-desler/profil/spieler/221873
652,Stijn Spierings,26,"Mar 12, 1996",Netherlands,TOULOUSE,,Defensive Midfield,2.0,37,1,7,2907,0,0,1.88,"Oct 5, 2020","Jun 30, 2023",/stijn-spierings/profil/spieler/241501
653,Branco van den Boomen,26,"Jul 21, 1995",Netherlands,TOULOUSE,,Central Midfield,6.0,41,12,23,3511,0,0,1.88,"Aug 7, 2020","Jun 30, 2023",/branco-van-den-boomen/profil/spieler/203938
654,Brecht Dejaegere,31,"May 29, 1991",Belgium,TOULOUSE,,Central Midfield,1.8,30,2,4,1854,0,0,1.73,"Jul 1, 2021","Jun 30, 2023",/brecht-dejaegere/profil/spieler/159098
658,Denis Genreau,23,"May 21, 1999",Australia,TOULOUSE,,Attacking Midfield,1.2,37,2,3,2061,0,0,1.75,"Aug 2, 2021","Jun 30, 2025",/denis-genreau/profil/spieler/470618
661,Farès Chaïbi,19,"Nov 28, 2002",France,TOULOUSE,,Attacking Midfield,0.05,17,1,3,1478,0,0,1.83,"Jul 1, 2022","Jun 30, 2025",/fares-chaibi/profil/spieler/855015
