,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,href,join,contract
103,Dominik Kohr,28,"Jan 31, 1994",Germany,MAINZ,"End of loanJun 30, 2022",Central Midfield,4.0,24,0,3,1862,0,0,1.83,/dominik-kohr/profil/spieler/118847,"Jul 1, 2022","Jun 30, 2025"
104,David Raum,24,"Apr 22, 1998",Germany,HOFFENHEIM,26.0,Left-Back,26.0,35,3,13,3028,0,0,1.8,/david-raum/profil/spieler/318204,"Jul 1, 2022","Jun 30, 2025"
105,João Klauss,25,"Mar 1, 1997 ",Brazil,HOFFENHEIM,3.2,Centre-Forward,3.0,35,9,8,2267,0,0,1.9,/joao-klauss/profil/spieler/498862,"Jul 1, 2022","Jun 30, 2026"
106,Sargis Adamyan,29,"May 23, 1993",Armenia,HOFFENHEIM,1.5,Centre-Forward,2.5,30,7,1,1102,0,0,1.84,/sargis-adamyan/profil/spieler/125614,"Jul 1, 2021","Jun 30, 2027"
107,Mijat Gacinovic,27,"Feb 8, 1995 ",Serbia,HOFFENHEIM,1.0,Attacking Midfield,3.0,23,0,5,1237,0,0,1.75,/mijat-gacinovic/profil/spieler/215864,"Aug 1, 2020","Jun 30, 2024"
108,Konstantinos Stafylidis,28,"Dec 2, 1993 ",Greece,HOFFENHEIM,0.25,Left-Back,1.8,26,0,3,1593,0,0,1.78,/konstantinos-stafylidis/profil/spieler/148967,"Jul 1, 2019","Jun 30, 2026"
109,David Otto,23,"Mar 3, 1999 ",Germany,HOFFENHEIM,0.25,Centre-Forward,0.5,23,3,3,1097,0,0,1.85,/david-otto/profil/spieler/362184,"Aug 4, 2020","Jun 30, 2026"
110,Kasim Adams,27,"Jun 22, 1995",Ghana,HOFFENHEIM,out,Centre-Back,1.5,3,0,0,2,0,0,1.9,/kasim-adams/profil/spieler/263801,"Jan 17, 2018","Jun 30, 2023"
111,Marco John,20,"Apr 2, 2002 ",Germany,HOFFENHEIM,out,Left-Back,2.0,10,0,0,552,0,0,1.84,/marco-john/profil/spieler/450234,"Jul 1, 2019","Jun 30, 2023"
112,Melayro Bogarde,20,"May 28, 2002",Netherlands,HOFFENHEIM,out,Defensive Midfield,1.2,26,0,0,1595,0,0,1.84,/melayro-bogarde/profil/spieler/476915,"Jul 1, 2017","Jun 30, 2023"
