,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,href,join,contract
545,Massimo Coda,33,"Nov 10, 1988",Italy,LECCE,1.5,Centre-Forward,1.4,38,22,10,3055,0,0,1.84,/massimo-coda/profil/spieler/33763,"Sep 1, 2020","Jun 30, 2025"
546,Francesco Di Mariano,26,"Apr 20, 1996",Italy,LECCE,1.0,Left Winger,1.4,32,6,3,2228,0,0,1.77,/francesco-di-mariano/profil/spieler/238950,"Aug 27, 2021","Jun 30, 2025"
547,Mario Gargiulo,26,"Mar 26, 1996",Italy,LECCE,0.75,Central Midfield,1.0,36,3,2,2484,0,0,1.87,/mario-gargiulo/profil/spieler/242469,"Aug 30, 2021","Jun 30, 2023"
548,Silvio Colella,20,"May 2, 2002 ",Italy,LECCE,out,Right-Back,0.01,16,1,2,1353,0,0,1.9,/silvio-colella/profil/spieler/621277,"Jan 30, 2022","Jun 30, 2023"
549,Gianmarco Mancarella,20,"Jan 23, 2002",Italy,LECCE,out,Left Midfield,0.05,37,9,10,3007,0,0,-,/gianmarco-mancarella/profil/spieler/621284,"Jun 30, 2022","Jun 30, 2023"
550,Sergio Maselli,21,"Apr 6, 2001 ",Italy,LECCE,out,Defensive Midfield,0.2,12,0,0,470,0,0,1.75,/sergio-maselli/profil/spieler/542572,"Sep 1, 2020","Jun 30, 2023"
551,Mattia Felici,21,"Apr 17, 2001",Italy,LECCE,out,Left Winger,0.075,13,1,1,410,0,0,-,/mattia-felici/profil/spieler/600041,"Jul 1, 2019","Jun 30, 2025"
552,Romario Benzar,30,"Mar 26, 1992",Romania,LECCE,out,Right-Back,0.25,0,0,0,0,0,0,1.8,/romario-benzar/profil/spieler/164231,"Jul 1, 2019","Jun 30, 2023"
553,Raúl Asencio,24,"May 20, 1998",Spain,LECCE,out,Centre-Forward,0.4,20,2,2,553,0,0,1.85,/raul-asencio/profil/spieler/340260,"Jan 20, 2022","Jun 30, 2024"
554,Gabriel,29,"Sep 27, 1992",Brazil,LECCE,out,Goalkeeper,1.5,46,0,0,4091,47,18,1.93,/gabriel/profil/spieler/79242,"Jul 3, 2019","Dec 31, 2026"
555,Arturo Calabresi,26,"Mar 17, 1996",Italy,LECCE,out,Right-Back,1.3,34,2,2,1868,0,0,1.86,/arturo-calabresi/profil/spieler/240897,"Jul 29, 2021","Jun 30, 2025"
556,Zan Majer,30,"Jul 25, 1992",Slovenia,LECCE,out,Central Midfield,1.7,25,3,5,1653,0,0,1.8,/zan-majer/profil/spieler/180805,"Feb 16, 2019","Jun 30, 2024"
