,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,join,contract,href
243,Mathias Olesen,21,"Mar 21, 2001",Luxembourg,KÖLN,,Central Midfield,0.35,30,4,0,2378,0,0,1.88,"Feb 4, 2022","Jun 30, 2025",/mathias-olesen/profil/spieler/490581
244,Ondrej Duda,27,"Dec 5, 1994 ",Slovakia,KÖLN,,Attacking Midfield,4.0,34,2,1,1731,0,0,1.81,"Sep 16, 2020","Jun 30, 2023",/ondrej-duda/profil/spieler/232418
247,Florian Kainz,29,"Oct 24, 1992",Austria,KÖLN,,Left Winger,3.5,34,4,7,2435,0,0,1.76,"Jan 18, 2019","Jun 30, 2025",/florian-kainz/profil/spieler/106270
249,Jan Thielmann,20,"May 26, 2002",Germany,KÖLN,,Right Winger,7.5,32,3,3,1488,0,0,1.78,"Jan 17, 2020","Jun 30, 2024",/jan-thielmann/profil/spieler/472249
251,Mark Uth,30,"Aug 24, 1991",Germany,KÖLN,,Centre-Forward,3.0,33,5,9,2302,0,0,1.85,"Jul 1, 2021","Jun 30, 2025",/mark-uth/profil/spieler/112935
252,Sebastian Andersson,30,"Jul 15, 1991",Sweden,KÖLN,,Centre-Forward,2.0,29,3,1,1453,0,0,1.9,"Sep 15, 2020","Jun 30, 2023",/sebastian-andersson/profil/spieler/147573
253,Tim Lemperle,20,"Feb 5, 2002 ",Germany,KÖLN,,Centre-Forward,2.0,22,4,0,793,0,0,1.89,"Jul 1, 2020","Jun 30, 2025",/tim-lemperle/profil/spieler/553285
254,Robin Zentner,27,"Oct 28, 1994",Germany,MAINZ,,Goalkeeper,5.0,35,0,0,3210,49,10,1.95,"Jul 1, 2014","Jun 30, 2025",/robin-zentner/profil/spieler/160963
255,Finn Dahmen,24,"Mar 27, 1998",Germany,MAINZ,,Goalkeeper,1.5,2,0,0,180,3,0,1.88,"Jul 1, 2018","Jun 30, 2023",/finn-dahmen/profil/spieler/251299
256,Lasse Rieß,20,"Jul 27, 2001",Germany,MAINZ,,Goalkeeper,0.2,26,0,0,2303,24,13,1.91,"Jul 1, 2021","Jun 30, 2025",/lasse-riess/profil/spieler/490609
260,Stefan Bell,30,"Aug 24, 1991",Germany,MAINZ,,Centre-Back,2.5,36,2,0,3140,0,0,1.92,"Jul 1, 2010","Jun 30, 2024",/stefan-bell/profil/spieler/82350
261,Alexander Hack,28,"Sep 8, 1993 ",Germany,MAINZ,,Centre-Back,2.5,30,3,1,2247,0,0,1.93,"Nov 30, 2015","Jun 30, 2024",/alexander-hack/profil/spieler/126281
263,Aarón Martín,25,"Apr 22, 1997",Spain,MAINZ,,Left-Back,5.0,31,1,1,2473,0,0,1.8,"Jul 1, 2019","Jun 30, 2023",/aaron-martin/profil/spieler/251878
265,Silvan Widmer,29,"Mar 5, 1993 ",Switzerland,MAINZ,,Right-Back,5.0,36,4,5,3219,0,0,1.83,"Jul 9, 2021","Jun 30, 2024",/silvan-widmer/profil/spieler/168989
267,Anton Stach,23,"Nov 15, 1998",Germany,MAINZ,,Defensive Midfield,13.0,32,1,9,2022,0,0,1.94,"Jul 31, 2021","Jun 30, 2024",/anton-stach/profil/spieler/344069
268,Niklas Tauer,21,"Feb 17, 2001",Germany,MAINZ,,Defensive Midfield,1.5,15,0,0,832,0,0,1.83,"Sep 27, 2019","Jun 30, 2024",/niklas-tauer/profil/spieler/470815
269,Stephan Fürstner,34,"Sep 11, 1987",Germany,MAINZ,,Defensive Midfield,0.075,17,0,0,888,0,0,1.78,-,-,/stephan-furstner/profil/spieler/35493
270,Leandro Barreiro,22,"Jan 3, 2000 ",Luxembourg,MAINZ,,Central Midfield,8.0,34,1,3,1978,0,0,1.74,"Jul 1, 2018","Jun 30, 2024",/leandro-barreiro/profil/spieler/357233
274,Eniss Shabani,19,"May 29, 2003",Germany,MAINZ,,Central Midfield,0.2,24,3,3,1886,0,0,1.8,"Jul 1, 2022","Jun 30, 2025",/eniss-shabani/profil/spieler/663189
275,Timothé Rupil,19,"Jun 12, 2003",Luxembourg,MAINZ,,Central Midfield,0.1,15,2,3,955,0,0,1.71,-,"Jun 30, 2024",/timothe-rupil/profil/spieler/627661
