,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,join,contract,href
39,Alex Cordaz,39,"Jan 1, 1983 ",Italy,INTER,,Goalkeeper,0.4,-,0,0,0,0,0,1.88,"Jul 1, 2021","Jun 30, 2023",/alex-cordaz/profil/spieler/16633
40,William Rovida,19,"Mar 14, 2003",Italy,INTER,,Goalkeeper,0.2,32,0,0,2970,26,14,1.95,-,-,/william-rovida/profil/spieler/704337
41,Milan Skriniar,27,"Feb 11, 1995",Slovakia,INTER,,Centre-Back,65.0,48,4,0,4380,0,0,1.88,"Jul 7, 2017","Jun 30, 2023",/milan-skriniar/profil/spieler/204069
42,Alessandro Bastoni,23,"Apr 13, 1999",Italy,INTER,,Centre-Back,60.0,44,1,3,3326,0,0,1.9,"Aug 30, 2017","Jun 30, 2024",/alessandro-bastoni/profil/spieler/315853
43,Stefan de Vrij,30,"Feb 5, 1992 ",Netherlands,INTER,,Centre-Back,28.0,41,1,1,3364,0,0,1.89,"Jul 1, 2018","Jun 30, 2023",/stefan-de-vrij/profil/spieler/111196
44,Danilo D'Ambrosio,33,"Sep 9, 1988 ",Italy,INTER,,Centre-Back,3.0,27,1,1,1421,0,0,1.8,"Jan 30, 2014","Jun 30, 2023",/danilo-dambrosio/profil/spieler/55769
46,Fabio Cortinovis,20,"Apr 20, 2002",Italy,INTER,,Centre-Back,0.05,10,0,0,734,0,0,-,-,"Jun 30, 2025",/fabio-cortinovis/profil/spieler/614498
47,Federico Dimarco,24,"Nov 10, 1997",Italy,INTER,,Left-Back,18.0,42,2,5,1892,0,0,1.75,"Jul 5, 2018","Jun 30, 2026",/federico-dimarco/profil/spieler/198116
50,Matteo Darmian,32,"Dec 2, 1989 ",Italy,INTER,,Right-Back,5.0,36,2,3,2046,0,0,1.83,"Jul 1, 2021","Jun 30, 2024",/matteo-darmian/profil/spieler/54906
51,Mattia Zanotti,19,"Jan 11, 2003",Italy,INTER,,Right-Back,0.35,24,0,3,1912,0,0,1.77,"Jul 1, 2022","Jun 30, 2025",/mattia-zanotti/profil/spieler/582353
52,Marcelo Brozovic,29,"Nov 16, 1992",Croatia,INTER,,Defensive Midfield,40.0,48,3,4,4094,0,0,1.81,"Jul 1, 2016","Jun 30, 2026",/marcelo-brozovic/profil/spieler/156617
54,Mattia Sangalli,20,"Feb 27, 2002",Italy,INTER,,Defensive Midfield,0.25,36,1,3,2681,0,0,1.88,-,-,/mattia-sangalli/profil/spieler/614500
55,Nicolò Barella,25,"Feb 7, 1997 ",Italy,INTER,,Central Midfield,70.0,48,4,13,3934,0,0,1.75,"Sep 1, 2020","Jun 30, 2026",/nicolo-barella/profil/spieler/255942
56,Hakan Calhanoglu,28,"Feb 8, 1994 ",Turkey,INTER,,Central Midfield,35.0,46,8,13,3357,0,0,1.78,"Jul 1, 2021","Jun 30, 2024",/hakan-calhanoglu/profil/spieler/126414
57,Roberto Gagliardini,28,"Apr 7, 1994 ",Italy,INTER,,Central Midfield,8.0,24,2,2,785,0,0,1.88,"Aug 1, 2017","Jun 30, 2023",/roberto-gagliardini/profil/spieler/197471
61,Cesare Casadei,19,"Jan 10, 2003",Italy,INTER,,Central Midfield,1.0,40,17,5,3040,0,0,1.85,-,"May 31, 2023",/cesare-casadei/profil/spieler/622380
62,Denzel Dumfries,26,"Apr 18, 1996",Netherlands,INTER,,Right Midfield,25.0,45,5,7,2849,0,0,1.88,"Aug 14, 2021","Jun 30, 2025",/denzel-dumfries/profil/spieler/321528
66,Lautaro Martínez,24,"Aug 22, 1997",Argentina,INTER,,Centre-Forward,75.0,49,25,4,3293,0,0,1.74,"Jul 4, 2018","Jun 30, 2026",/lautaro-martinez/profil/spieler/406625
69,Edin Dzeko,36,"Mar 17, 1986",Bosnia-Herzegovina,INTER,,Centre-Forward,4.0,49,17,10,3371,0,0,1.93,"Aug 14, 2021","Jun 30, 2023",/edin-dzeko/profil/spieler/28396
72,Dennis Curatolo,18,"Apr 3, 2004 ",Italy,INTER,,Centre-Forward,,38,19,2,2111,0,0,-,-,-,/dennis-curatolo/profil/spieler/819036
73,Alex Meret,25,"Mar 22, 1997",Italy,NAPOLI,,Goalkeeper,10.0,15,0,0,1324,23,4,1.9,"Jul 1, 2019","Jun 30, 2024",/alex-meret/profil/spieler/240414
75,Hubert Idasiak,20,"Feb 3, 2002 ",Poland,NAPOLI,,Goalkeeper,0.15,32,0,0,2880,48,5,1.88,"Jul 1, 2022","Jun 30, 2024",/hubert-idasiak/profil/spieler/555557
76,Davide Marfella,22,"Sep 15, 1999",Italy,NAPOLI,,Goalkeeper,0.05,1,0,0,10,0,1,1.82,"Aug 19, 2021","Jun 30, 2023",/davide-marfella/profil/spieler/417414
77,Valerio Boffelli,17,"Sep 4, 2004 ",Italy,NAPOLI,,Goalkeeper,,5,0,0,450,6,1,1.82,-,-,/valerio-boffelli/profil/spieler/809986
79,Amir Rrahmani,28,"Feb 24, 1994",Kosovo,NAPOLI,,Centre-Back,25.0,41,4,0,3518,0,0,1.92,"Jan 20, 2020","Jun 30, 2024",/amir-rrahmani/profil/spieler/257732
82,Juan Jesus,31,"Jun 10, 1991",Brazil,NAPOLI,,Centre-Back,4.0,28,1,0,1754,0,0,1.85,"Aug 18, 2021","Jun 30, 2023",/juan-jesus/profil/spieler/121985
